date,open,high,low,close,volume,number of trades,EOS EOS,sentiment
2018-04-15 00:00:00,0.00109100,0.00109210,0.00102210,0.00103000,822861.29000000,16134,63.0,-0.2
2018-04-15 00:00:00,0.00109100,0.00109210,0.00102210,0.00103000,822861.29000000,16134,81.0,-0.2
2018-04-15 01:00:00,0.00103000,0.00103120,0.00097380,0.00101300,1438806.44000000,22998,83.0,0.18253968253968256
2018-04-15 02:00:00,0.00101300,0.00103260,0.00101250,0.00102440,470780.94000000,7867,76.0,0.11397306397306399
2018-04-15 03:00:00,0.00102400,0.00102400,0.00098750,0.00100410,190600.44000000,3843,82.0,-0.1
2018-04-15 04:00:00,0.00100540,0.00101550,0.00100010,0.00101210,193172.40000000,3762,84.0,-0.08333333333333333
2018-04-15 05:00:00,0.00101240,0.00102800,0.00100050,0.00102490,216367.80000000,3867,83.0,-0.075
2018-04-15 06:00:00,0.00102490,0.00104890,0.00101900,0.00103840,365151.09000000,8645,87.0,0.11666666666666665
2018-04-15 07:00:00,0.00103990,0.00105590,0.00103610,0.00104410,194953.56000000,3126,88.0,0.25
2018-04-15 08:00:00,0.00104400,0.00104520,0.00102800,0.00103800,129769.00000000,2384,93.0,0.2092857142857143
2018-04-15 09:00:00,0.00103800,0.00105000,0.00103420,0.00104020,160673.11000000,3163,100.0,0.0
2018-04-15 10:00:00,0.00104020,0.00104170,0.00103040,0.00103380,71855.15000000,1509,98.0,0.0
2018-04-15 11:00:00,0.00103380,0.00103920,0.00102480,0.00102750,215821.06000000,3651,91.0,0.0
2018-04-15 12:00:00,0.00102730,0.00103380,0.00102260,0.00102570,164628.84000000,2664,86.0,0.25
2018-04-15 13:00:00,0.00102570,0.00103200,0.00102320,0.00103050,113955.18000000,2814,81.0,0.09909090909090909
2018-04-15 14:00:00,0.00102920,0.00103270,0.00102270,0.00102750,145087.30000000,2078,85.0,0.13636363636363635
2018-04-15 15:00:00,0.00102750,0.00102910,0.00101400,0.00101640,156426.66000000,3449,80.0,-0.00625
2018-04-15 16:00:00,0.00101640,0.00102720,0.00101490,0.00102700,114884.69000000,2067,79.0,0.0
2018-04-15 17:00:00,0.00102700,0.00102820,0.00102060,0.00102260,61505.18000000,1190,82.0,0.030000000000000006
2018-04-15 18:00:00,0.00102270,0.00102500,0.00101350,0.00101800,64471.88000000,1721,84.0,0.003968253968253966
2018-04-15 19:00:00,0.00101810,0.00101990,0.00100780,0.00101110,94157.87000000,2152,80.0,-0.06666666666666667
2018-04-15 20:00:00,0.00101200,0.00102370,0.00100860,0.00101870,134538.77000000,2678,80.0,0.0
2018-04-15 21:00:00,0.00101870,0.00102060,0.00100570,0.00101480,101193.88000000,2130,80.0,0.0
2018-04-15 22:00:00,0.00101480,0.00101900,0.00101000,0.00101750,106631.51000000,2092,74.0,0.0
2018-04-15 23:00:00,0.00101740,0.00102060,0.00101520,0.00101840,150979.19000000,2889,70.0,0.2857142857142857
2018-04-16 00:00:00,0.00101840,0.00101930,0.00100540,0.00101100,158046.57000000,4520,80.0,0.0
2018-04-16 01:00:00,0.00101020,0.00101300,0.00100150,0.00100370,84182.18000000,2279,67.0,0.328030303030303
2018-04-16 02:00:00,0.00100360,0.00101340,0.00100000,0.00100600,168096.80000000,3063,70.0,0.0
2018-04-16 03:00:00,0.00100500,0.00101020,0.00099840,0.00100560,121449.85000000,1662,73.0,0.05833333333333333
2018-04-16 04:00:00,0.00100560,0.00100660,0.00099450,0.00099870,75675.80000000,1826,80.0,0.29375
2018-04-16 05:00:00,0.00099900,0.00100440,0.00099400,0.00099450,94718.07000000,2195,79.0,0.0
2018-04-16 06:00:00,0.00099640,0.00100100,0.00099000,0.00099880,163022.39000000,2501,83.0,0.0
2018-04-16 07:00:00,0.00099850,0.00100190,0.00099210,0.00100030,69888.84000000,1527,83.0,0.1
2018-04-16 08:00:00,0.00100170,0.00100950,0.00100020,0.00100400,128758.56000000,1775,87.0,0.0
2018-04-16 09:00:00,0.00100400,0.00101560,0.00099830,0.00100160,164438.89000000,2433,85.0,0.028787878787878782
2018-04-16 10:00:00,0.00100250,0.00100660,0.00099940,0.00099980,79549.63000000,1238,81.0,0.0
2018-04-16 11:00:00,0.00099950,0.00100190,0.00099430,0.00099900,98978.43000000,1389,77.0,-0.025000000000000005
2018-04-16 12:00:00,0.00099810,0.00100840,0.00099200,0.00099530,210990.56000000,3199,80.0,0.05500000000000001
2018-04-16 13:00:00,0.00099530,0.00100290,0.00099020,0.00099770,167156.27000000,2732,81.0,0.14524891774891774
2018-04-16 14:00:00,0.00099770,0.00100920,0.00099690,0.00100120,135138.88000000,2504,75.0,0.0
2018-04-16 15:00:00,0.00100120,0.00100530,0.00099650,0.00100000,82895.24000000,1534,77.0,0.225
2018-04-16 16:00:00,0.00100060,0.00100070,0.00099450,0.00099540,75462.45000000,1730,72.0,0.75
2018-04-16 17:00:00,0.00099550,0.00100820,0.00099320,0.00100670,124367.56000000,2639,75.0,0.0
2018-04-16 18:00:00,0.00100660,0.00103280,0.00100400,0.00102240,325982.35000000,5480,76.0,-0.013333333333333312
2018-04-16 19:00:00,0.00102250,0.00102600,0.00101040,0.00101300,174733.16000000,3503,78.0,0.14583333333333334
2018-04-16 20:00:00,0.00101290,0.00101300,0.00100600,0.00100860,77427.85000000,1484,77.0,0.009259259259259226
2018-04-16 21:00:00,0.00100840,0.00101700,0.00099470,0.00100640,298586.53000000,6867,74.0,0.20055555555555554
2018-04-16 22:00:00,0.00100700,0.00101760,0.00099600,0.00099600,240184.59000000,4886,70.0,0.0
2018-04-16 23:00:00,0.00099620,0.00100610,0.00099380,0.00100490,148620.84000000,2380,69.0,0.0
2018-04-17 00:00:00,0.00100490,0.00101500,0.00100480,0.00101260,153719.33000000,2412,68.0,0.0
2018-04-17 01:00:00,0.00101260,0.00109550,0.00101250,0.00108300,1325056.10000000,19149,77.0,0.0
2018-04-17 02:00:00,0.00108240,0.00110000,0.00106620,0.00109100,527581.54000000,7922,75.0,0.0
2018-04-17 03:00:00,0.00109100,0.00112000,0.00108040,0.00109840,629323.83000000,8420,81.0,0.0
2018-04-17 04:00:00,0.00109670,0.00109810,0.00108300,0.00108690,219174.49000000,3192,83.0,0.0
2018-04-17 05:00:00,0.00108690,0.00108710,0.00107350,0.00107720,139294.67000000,3026,79.0,0.0
2018-04-17 06:00:00,0.00107700,0.00108770,0.00107400,0.00108120,108781.65000000,2467,85.0,0.2713068181818182
2018-04-17 07:00:00,0.00108010,0.00108510,0.00107230,0.00107510,130477.62000000,2562,88.0,0.2
2018-04-17 08:00:00,0.00107400,0.00107810,0.00106700,0.00106790,119304.13000000,3348,92.0,0.07305194805194805
2018-04-17 09:00:00,0.00106790,0.00108000,0.00106730,0.00107530,158453.10000000,3046,86.0,0.0
2018-04-17 10:00:00,0.00107530,0.00109500,0.00107110,0.00109300,182764.70000000,3478,84.0,0.1340909090909091
2018-04-17 11:00:00,0.00109300,0.00109430,0.00107800,0.00107970,175912.16000000,3001,78.0,0.12992424242424244
2018-04-17 12:00:00,0.00108110,0.00108490,0.00107600,0.00108060,104353.80000000,2638,81.0,0.06742424242424241
2018-04-17 13:00:00,0.00108060,0.00108860,0.00107710,0.00108340,140056.96000000,2554,76.0,-0.05000000000000001
2018-04-17 14:00:00,0.00108250,0.00108490,0.00107740,0.00108050,239262.14000000,2515,75.0,0.125
2018-04-17 15:00:00,0.00108050,0.00109000,0.00107730,0.00108850,106451.39000000,2132,75.0,0.07232142857142856
2018-04-17 16:00:00,0.00108860,0.00111860,0.00108850,0.00110330,902539.12000000,9126,75.0,0.0
2018-04-17 17:00:00,0.00110320,0.00111210,0.00109270,0.00109380,356731.79000000,3669,71.0,0.75
2018-04-17 18:00:00,0.00109270,0.00109390,0.00108210,0.00108970,198689.62000000,4461,74.0,-0.1
2018-04-17 19:00:00,0.00108750,0.00108990,0.00106900,0.00108000,166732.08000000,3850,78.0,0.0
2018-04-17 20:00:00,0.00107950,0.00108440,0.00107480,0.00107760,96486.96000000,2265,76.0,0.2978571428571429
2018-04-17 21:00:00,0.00107760,0.00108150,0.00106860,0.00107660,148682.00000000,4689,77.0,0.35833333333333334
2018-04-17 22:00:00,0.00107710,0.00108170,0.00106960,0.00107230,103455.73000000,2389,72.0,0.25
2018-04-17 23:00:00,0.00107230,0.00107700,0.00106110,0.00107430,137341.53000000,3307,66.0,0.21428571428571427
2018-04-18 00:00:00,0.00107420,0.00108600,0.00107120,0.00107840,88198.55000000,1860,66.0,0.0
2018-04-18 01:00:00,0.00107940,0.00109000,0.00107850,0.00108180,116882.57000000,2472,66.0,0.0625
2018-04-18 02:00:00,0.00108100,0.00108840,0.00107890,0.00108400,49394.40000000,1178,69.0,0.5
