username,date,retweets,favorites,text
tohoku_fassefoy,2018-05-27 11:41,1,7,"《NEM/XEM 店頭販売》 暗号通貨を手に入れるのに取引所選び⇨登録⇨注文⇨ウォレット作成⇨送金⇨着金の流れはこれから来る人にとってハードルが高い。 XEM販売所をつくる。 また、購入したXEMで店内でそのまま買い物が出来るようにするとなおいい # NEMideahttps://twitter.com/jieotaka/status/999177396476497920 …"
maminem2,2018-05-27 10:32,16,52,"NEM財団公認の、初心者向け仮想通貨勉強会がタイのシラチャで行われるよ この勉強会は日本語で行われ、ブロックチェーンとNEMの取り組みについて話すよ٩(๑❛ᴗ❛๑)۶ # NEM # XEM https://twitter.com/nemofficial/status/1000436406886395905 …"
nem_raaa,2018-05-27 02:24,5,52,"次はいよいよNEM横丁でしょ！ NEM繁華街？NEM屋台村？ XEM使ってひたすらグダグダするヤツ、ハーベストで、つまみ注文！とか シャレオツ感ゼロのヤツ て…誰かが言ってた… (言い出しっぺでは無い) そろそろお家に着くぞ"
mitsuru72755,2018-05-26 22:13,4,22,"# 岐阜 # 仮想通貨 # NEM # モナコイン みんは岐阜に遊びに来てね 岐阜県東白川村の道の駅にてネム（XEM）とモナコイン（MONA）で決済可能なイベントを開催！ https://bitdays.jp/news/6841/ @ bitdays_jpから"
nemche_team,2018-05-26 10:13,5,36,"第2部スタート！！ 暗号太郎さん . @ angoutaro ピンクドンペリありがとうございます！！！！ # nemcafe # nem # xem # ネム # ブロックチェーン # 暗号通貨 # 仮想通貨pic.twitter.com/JFGX0X1oVE"
t9i,2018-05-26 07:03,8,26,"nem猫プロジェクトに寄付をしたらリアルxemコインを貰っちゃいました！ 良い取り組みなので皆さん支援お願いします。 # NEM猫プロジェクトpic.twitter.com/Et15fuqzVO"
poipoikunpoi,2018-05-26 05:07,11,40,"# nemcafe きました！会場にはたくさんの人！！ # nem の開発コンテスト # nemcon 始まりました！XEM払いが楽しくなるアプリケーションの発表大会です！ https://nemcafe.jp/nemcon/ pic.twitter.com/3W9sChLyji"
tanteischulz,2018-05-26 05:02,4,27,"# nemcafe in 福岡天神！ 1日限りの限定オープン！ 粗品多過ぎwwwww バッグまで貰ったwwwwwww # 仮想通貨 # 暗号通貨 # nem # XEM # nemクッキーpic.twitter.com/UQULVk93DF"
Krypto_Academy,2018-05-25 15:00,0,0,"NEM COIN auf deutsch (XEM) ► Berechtigt unter den Top 20 auf Coinmarketcap� http://youtu.be/gF8IWA0OvfE?a"
peachcream6,2018-05-24 19:38,8,18,"nem color bag # nem # nemcafe # xem pic.twitter.com/mYctOIkchh"
TrendStream,2018-05-24 08:05,116,251,"『取引再開は6月中目標』また『業務の全面再開後は扱う通貨を今より増やす方針』、XEM買ってくださいマネックス先輩！ # NEM マネックス：松本社長「コインチェック６月中に全面再開」 - 毎日新聞 https://mainichi.jp/articles/20180524/k00/00m/020/105000c …"
TrendStream,2018-05-24 03:09,13,50,"「みなさんのアイデアを採用したら100XEM、実現できたら10万XEM」 は？wwwwwww さあみんな考えよう！！ # NEM https://twitter.com/jieotaka/status/999177396476497920 …"
