date,open,high,low,close,volume,number of trades,Bitcoin BTC,sentiment
2018-04-22 04:00:00,8814.00000000,8851.00000000,8794.62000000,8843.60000000,678.36701900,6318,60.0,0.1953125
2018-04-22 05:00:00,8843.60000000,8887.96000000,8833.44000000,8834.73000000,595.74785400,6100,67.0,0.16554962894248607
2018-04-22 06:00:00,8834.73000000,8888.00000000,8834.50000000,8887.07000000,680.34298200,5096,64.0,0.15
2018-04-22 07:00:00,8888.00000000,8904.99000000,8845.00000000,8875.00000000,814.48124800,7202,62.0,0.11249999999999999
2018-04-22 08:00:00,8875.00000000,8963.00000000,8865.00000000,8940.03000000,1593.81883100,11255,59.0,0.0
2018-04-22 09:00:00,8940.00000000,8979.50000000,8862.22000000,8910.00000000,1535.54863300,10704,61.0,0.22257653061224492
2018-04-22 10:00:00,8910.00000000,8949.00000000,8902.12000000,8942.00000000,867.51075200,8044,64.0,0.13611111111111113
2018-04-22 11:00:00,8941.00000000,9020.00000000,8912.00000000,8916.01000000,1949.84045300,14138,62.0,0.01474506974506975
2018-04-22 12:00:00,8916.01000000,8965.82000000,8768.79000000,8853.97000000,2722.80864900,18044,60.0,0.18231060606060606
2018-04-22 13:00:00,8853.97000000,8913.31000000,8830.00000000,8877.00000000,1040.47124400,8950,58.0,0.13739583333333333
2018-04-22 14:00:00,8877.00000000,8998.00000000,8874.03000000,8961.90000000,1733.76429400,12827,66.0,0.0
2018-04-22 15:00:00,8967.78000000,8984.98000000,8928.23000000,8940.67000000,1201.65432000,10634,59.0,0.050321428571428586
2018-04-22 16:00:00,8940.67000000,9020.67000000,8850.00000000,8919.95000000,2220.18942400,15918,57.0,0.09655647382920109
2018-04-22 17:00:00,8919.95000000,8974.63000000,8919.00000000,8940.36000000,906.83154000,7420,61.0,0.2650297619047619
2018-04-22 18:00:00,8940.36000000,8957.84000000,8921.02000000,8948.80000000,733.41020900,5858,59.0,0.09765361952861953
2018-04-22 19:00:00,8948.80000000,8948.81000000,8860.00000000,8881.00000000,1274.60109300,10862,65.0,0.2541125541125541
2018-04-22 20:00:00,8881.00000000,8925.00000000,8865.99000000,8898.30000000,810.37545400,7772,66.0,0.19944234006734007
2018-04-22 21:00:00,8898.30000000,8928.00000000,8870.00000000,8920.02000000,735.07595300,7465,62.0,0.16666666666666666
2018-04-22 22:00:00,8926.80000000,8926.88000000,8820.00000000,8848.18000000,1025.18361200,9972,76.0,-0.1875
2018-04-22 23:00:00,8848.18000000,8848.18000000,8727.68000000,8787.02000000,2685.80657600,16348,58.0,0.01515151515151515
2018-04-23 00:00:00,8785.70000000,8848.73000000,8745.00000000,8816.99000000,1359.19925700,9392,54.0,0.06361111111111112
2018-04-23 01:00:00,8816.99000000,8888.00000000,8787.01000000,8853.24000000,965.58923300,6369,66.0,0.15334531539888682
2018-04-23 02:00:00,8844.24000000,8888.00000000,8821.83000000,8849.92000000,1047.05392000,6610,74.0,0.08829629629629629
2018-04-23 03:00:00,8849.91000000,8888.00000000,8847.01000000,8861.52000000,741.21926700,5426,65.0,-0.16666666666666666
2018-04-23 04:00:00,8861.52000000,8878.98000000,8821.01000000,8857.85000000,653.70535400,5210,59.0,0.239520202020202
