date,open,high,low,close,volume,number of trades,BitConnect BCC
2018-04-25 16:00:00,1283.48000000,1283.48000000,1251.00000000,1273.47000000,2282.92041000,4275,20
2018-04-25 17:00:00,1270.97000000,1356.78000000,1270.02000000,1334.20000000,4284.55302000,6849,31
2018-04-25 18:00:00,1334.20000000,1338.94000000,1306.48000000,1319.30000000,2335.38539000,4779,20
2018-04-25 19:00:00,1319.30000000,1329.00000000,1307.35000000,1323.16000000,1331.84450000,2724,0
2018-04-25 20:00:00,1319.19000000,1340.55000000,1318.44000000,1330.98000000,1084.60649000,1848,24
2018-04-25 21:00:00,1328.41000000,1368.84000000,1328.40000000,1366.00000000,1639.83632000,2980,0
2018-04-25 22:00:00,1366.00000000,1368.83000000,1283.00000000,1296.07000000,2597.50396000,4910,17
2018-04-25 23:00:00,1293.48000000,1311.82000000,1260.00000000,1291.00000000,2535.60032000,4984,18
2018-04-26 00:00:00,1291.88000000,1291.89000000,1240.97000000,1279.38000000,2815.65475000,4981,35
2018-04-26 01:00:00,1279.41000000,1321.56000000,1270.00000000,1291.34000000,2013.59548000,4197,17
2018-04-26 02:00:00,1291.34000000,1360.00000000,1291.00000000,1349.65000000,2003.35166000,3897,17
2018-04-26 03:00:00,1347.00000000,1359.28000000,1314.66000000,1328.00000000,2105.42235000,4126,0
2018-04-26 04:00:00,1328.97000000,1380.00000000,1327.06000000,1375.00000000,2540.41172000,4204,37
2018-04-26 05:00:00,1376.00000000,1376.23000000,1350.64000000,1358.00000000,1751.46717000,3624,34
2018-04-26 06:00:00,1358.66000000,1362.00000000,1318.00000000,1329.69000000,1683.37869000,3663,47
2018-04-26 07:00:00,1329.70000000,1344.99000000,1320.50000000,1339.00000000,973.09521000,2239,14
2018-04-26 08:00:00,1339.00000000,1348.84000000,1288.00000000,1294.40000000,2428.29858000,4430,14
2018-04-26 09:00:00,1292.31000000,1310.98000000,1280.00000000,1303.00000000,1383.12554000,2701,0
2018-04-26 10:00:00,1303.79000000,1346.00000000,1301.01000000,1332.00000000,2236.61093000,3912,39
2018-04-26 11:00:00,1332.00000000,1346.39000000,1316.00000000,1336.00000000,1292.97343000,2251,12
2018-04-26 12:00:00,1335.99000000,1349.90000000,1334.01000000,1339.25000000,1214.26791000,2167,32
2018-04-26 13:00:00,1337.00000000,1339.24000000,1313.00000000,1327.19000000,1142.75001000,2475,10
2018-04-26 14:00:00,1328.99000000,1344.50000000,1314.51000000,1331.80000000,1170.07027000,2630,0
2018-04-26 15:00:00,1331.80000000,1333.25000000,1320.10000000,1327.26000000,713.97688000,1117,20
2018-04-26 16:00:00,1327.29000000,1345.48000000,1321.53000000,1340.91000000,1076.69831000,1840,20
2018-04-26 17:00:00,1341.21000000,1348.97000000,1327.50000000,1333.00000000,1029.43520000,1325,0
2018-04-26 18:00:00,1332.51000000,1337.99000000,1319.01000000,1326.07000000,698.43434000,1111,0
2018-04-26 19:00:00,1326.07000000,1329.46000000,1318.50000000,1323.82000000,337.47196000,585,0
2018-04-26 20:00:00,1323.65000000,1369.00000000,1322.21000000,1358.00000000,1925.43344000,3632,0
2018-04-26 21:00:00,1358.02000000,1361.61000000,1337.00000000,1345.91000000,756.97823000,1811,29
2018-04-26 22:00:00,1345.91000000,1406.67000000,1330.61000000,1396.00000000,2028.31984000,3305,0
2018-04-26 23:00:00,1396.00000000,1425.22000000,1394.72000000,1420.32000000,3053.68507000,4636,0
2018-04-27 00:00:00,1418.88000000,1424.99000000,1391.70000000,1398.00000000,1320.94183000,2548,36
2018-04-27 01:00:00,1398.00000000,1417.99000000,1395.00000000,1405.00000000,877.48118000,1616,18
2018-04-27 02:00:00,1405.00000000,1410.47000000,1390.01000000,1392.00000000,813.72865000,1320,0
2018-04-27 03:00:00,1392.00000000,1393.30000000,1360.00000000,1363.00000000,1683.09292000,2748,0
2018-04-27 04:00:00,1362.00000000,1404.86000000,1350.41000000,1384.90000000,1506.71955000,2664,38
2018-04-27 05:00:00,1384.90000000,1387.99000000,1372.28000000,1374.05000000,578.94613000,1073,0
2018-04-27 06:00:00,1376.07000000,1393.99000000,1374.00000000,1387.00000000,694.47349000,1105,32
2018-04-27 07:00:00,1387.10000000,1389.35000000,1375.47000000,1388.64000000,615.41203000,948,46
2018-04-27 08:00:00,1389.80000000,1402.00000000,1385.20000000,1391.60000000,723.85367000,1327,0
2018-04-27 09:00:00,1391.73000000,1417.20000000,1388.68000000,1410.79000000,805.24329000,1557,71
2018-04-27 10:00:00,1411.07000000,1423.91000000,1400.11000000,1414.71000000,1220.81082000,2153,27
2018-04-27 11:00:00,1412.24000000,1417.00000000,1394.00000000,1402.01000000,766.54396000,1614,12
2018-04-27 12:00:00,1404.79000000,1407.50000000,1385.00000000,1390.00000000,890.83838000,1439,34
2018-04-27 13:00:00,1390.48000000,1393.82000000,1370.00000000,1379.00000000,1708.12478000,2960,21
2018-04-27 14:00:00,1380.00000000,1405.00000000,1377.00000000,1402.05000000,908.04459000,1684,0
2018-04-27 15:00:00,1402.05000000,1409.25000000,1386.00000000,1398.18000000,1069.76255000,1805,21
2018-04-27 16:00:00,1398.18000000,1415.00000000,1398.00000000,1408.00000000,1617.82449000,1718,0
2018-04-27 17:00:00,1408.00000000,1415.00000000,1401.63000000,1401.63000000,514.72135000,956,11
2018-04-27 18:00:00,1404.14000000,1404.14000000,1387.00000000,1393.21000000,1096.77808000,1863,0
2018-04-27 19:00:00,1393.14000000,1395.75000000,1365.30000000,1369.00000000,789.70624000,1858,0
2018-04-27 20:00:00,1368.02000000,1384.96000000,1341.40000000,1349.14000000,1499.34665000,3134,0
2018-04-27 21:00:00,1347.00000000,1354.99000000,1325.00000000,1340.00000000,977.04802000,1821,15
2018-04-27 22:00:00,1341.69000000,1362.00000000,1340.00000000,1356.80000000,785.34695000,1486,18
2018-04-27 23:00:00,1356.45000000,1359.00000000,1325.00000000,1330.03000000,690.26366000,1746,19
2018-04-28 00:00:00,1330.03000000,1352.70000000,1315.00000000,1346.81000000,904.53572000,1803,20
2018-04-28 01:00:00,1347.44000000,1373.08000000,1341.67000000,1369.12000000,639.08012000,1126,0
2018-04-28 02:00:00,1369.14000000,1372.00000000,1352.00000000,1352.38000000,568.88790000,1173,19
2018-04-28 03:00:00,1354.72000000,1375.00000000,1353.65000000,1367.61000000,503.94193000,1065,20
2018-04-28 04:00:00,1370.01000000,1370.01000000,1357.01000000,1362.00000000,335.75228000,710,0
2018-04-28 05:00:00,1363.96000000,1373.00000000,1361.72000000,1369.88000000,452.03434000,755,0
2018-04-28 06:00:00,1369.88000000,1380.00000000,1368.50000000,1371.49000000,389.98725000,1047,18
2018-04-28 07:00:00,1371.29000000,1375.00000000,1358.68000000,1362.58000000,388.61657000,990,0
2018-04-28 08:00:00,1360.33000000,1401.00000000,1355.41000000,1387.16000000,1947.53082000,3434,17
2018-04-28 09:00:00,1387.16000000,1392.67000000,1368.30000000,1388.07000000,912.02217000,2299,0
2018-04-28 10:00:00,1388.02000000,1399.99000000,1381.79000000,1388.40000000,719.30430000,1577,16
2018-04-28 11:00:00,1390.19000000,1392.00000000,1378.85000000,1384.99000000,353.51081000,691,43
2018-04-28 12:00:00,1384.99000000,1417.50000000,1383.99000000,1417.50000000,1336.36674000,2559,40
2018-04-28 13:00:00,1417.83000000,1419.00000000,1402.00000000,1409.25000000,829.95835000,1452,37
2018-04-28 14:00:00,1409.25000000,1417.99000000,1383.06000000,1395.98000000,1072.64947000,2449,0
2018-04-28 15:00:00,1395.99000000,1403.41000000,1380.04000000,1402.02000000,857.11781000,1585,12
2018-04-28 16:00:00,1403.00000000,1409.89000000,1382.02000000,1391.00000000,676.01619000,1556,0
2018-04-28 17:00:00,1390.98000000,1396.95000000,1385.00000000,1385.00000000,294.93249000,684,0
2018-04-28 18:00:00,1385.00000000,1409.51000000,1385.00000000,1407.50000000,767.92612000,1429,13
2018-04-28 19:00:00,1407.00000000,1409.00000000,1395.53000000,1399.97000000,477.65670000,951,0
2018-04-28 20:00:00,1398.42000000,1409.00000000,1391.57000000,1392.96000000,422.35744000,1114,14
2018-04-28 21:00:00,1392.96000000,1397.64000000,1382.03000000,1388.80000000,382.28689000,931,32
2018-04-28 22:00:00,1388.80000000,1403.44000000,1388.80000000,1397.67000000,287.34005000,584,0
2018-04-28 23:00:00,1396.47000000,1399.99000000,1390.55000000,1392.00000000,178.98479000,484,20
2018-04-29 00:00:00,1391.12000000,1436.39000000,1391.00000000,1430.00000000,1783.83503000,3051,60
2018-04-29 00:00:00,1391.12000000,1436.39000000,1391.00000000,1430.00000000,1783.83503000,3051,94
2018-04-29 01:00:00,1430.00000000,1483.66000000,1426.25000000,1473.83000000,2102.51766000,4313,0
2018-04-29 02:00:00,1473.83000000,1485.59000000,1456.79000000,1472.38000000,1515.10461000,2273,0
2018-04-29 03:00:00,1472.38000000,1472.38000000,1451.00000000,1464.76000000,574.32393000,1511,64
2018-04-29 04:00:00,1464.76000000,1469.00000000,1451.06000000,1451.99000000,381.37141000,888,33
2018-04-29 05:00:00,1453.80000000,1458.99000000,1429.80000000,1440.00000000,480.58894000,1453,0
2018-04-29 06:00:00,1440.00000000,1463.00000000,1436.05000000,1460.00000000,339.94906000,1091,58
2018-04-29 07:00:00,1460.00000000,1470.00000000,1443.00000000,1444.91000000,442.69054000,1379,0
2018-04-29 08:00:00,1444.81000000,1449.07000000,1394.25000000,1400.14000000,1860.36470000,3450,0
2018-04-29 09:00:00,1402.90000000,1409.00000000,1375.80000000,1400.00000000,1638.63549000,3175,50
2018-04-29 10:00:00,1399.25000000,1402.16000000,1370.62000000,1385.43000000,764.96407000,1791,24
2018-04-29 11:00:00,1382.25000000,1398.86000000,1370.50000000,1395.00000000,1155.23767000,1836,45
2018-04-29 12:00:00,1395.00000000,1404.99000000,1379.75000000,1385.10000000,869.04611000,1504,0
2018-04-29 13:00:00,1385.51000000,1445.00000000,1380.10000000,1422.51000000,1419.21439000,2912,0
2018-04-29 14:00:00,1422.51000000,1438.23000000,1406.96000000,1410.00000000,1322.58561000,2091,0
2018-04-29 15:00:00,1410.00000000,1442.30000000,1408.01000000,1438.86000000,568.82262000,1286,36
2018-04-29 16:00:00,1438.00000000,1440.50000000,1416.56000000,1416.56000000,287.03512000,954,54
2018-04-29 17:00:00,1419.86000000,1434.00000000,1400.42000000,1430.00000000,545.82713000,1568,0
2018-04-29 18:00:00,1429.64000000,1433.25000000,1413.64000000,1430.10000000,292.72490000,768,55
2018-04-29 19:00:00,1430.01000000,1444.50000000,1429.72000000,1435.24000000,504.86140000,1194,19
2018-04-29 20:00:00,1431.30000000,1435.00000000,1411.87000000,1421.53000000,512.11829000,1148,64
2018-04-29 21:00:00,1420.00000000,1423.17000000,1414.34000000,1421.64000000,204.71982000,382,24
2018-04-29 22:00:00,1420.00000000,1450.00000000,1418.50000000,1445.41000000,621.30499000,1376,84
2018-04-29 23:00:00,1445.43000000,1450.00000000,1433.00000000,1442.61000000,569.64800000,836,30
2018-04-30 00:00:00,1439.35000000,1449.26000000,1422.05000000,1435.60000000,548.72325000,1310,0
2018-04-30 01:00:00,1438.96000000,1440.00000000,1431.62000000,1438.89000000,288.43579000,679,28
2018-04-30 02:00:00,1437.97000000,1443.13000000,1432.41000000,1440.00000000,547.03851000,723,29
2018-04-30 03:00:00,1437.41000000,1441.57000000,1400.00000000,1401.50000000,1018.94750000,2293,0
2018-04-30 04:00:00,1401.30000000,1412.00000000,1399.38000000,1401.54000000,389.81988000,949,60
2018-04-30 05:00:00,1401.60000000,1416.98000000,1401.00000000,1413.35000000,273.33957000,661,0
2018-04-30 06:00:00,1413.41000000,1417.00000000,1390.10000000,1399.16000000,405.77045000,1094,75
2018-04-30 07:00:00,1397.02000000,1400.27000000,1380.00000000,1384.05000000,907.55446000,1948,23
2018-04-30 08:00:00,1384.58000000,1399.46000000,1377.00000000,1393.25000000,1428.14584000,1892,67
2018-04-30 09:00:00,1393.20000000,1400.76000000,1385.42000000,1393.01000000,305.36955000,938,43
2018-04-30 10:00:00,1394.80000000,1402.00000000,1382.00000000,1401.05000000,494.87134000,906,63
2018-04-30 11:00:00,1401.05000000,1414.33000000,1394.03000000,1400.21000000,408.80859000,966,0
2018-04-30 12:00:00,1400.31000000,1405.69000000,1396.86000000,1401.01000000,367.68146000,829,17
2018-04-30 13:00:00,1401.01000000,1409.00000000,1392.02000000,1394.15000000,459.77948000,929,0
2018-04-30 14:00:00,1394.05000000,1396.19000000,1374.81000000,1387.00000000,793.91461000,1356,16
2018-04-30 15:00:00,1387.00000000,1392.08000000,1384.73000000,1389.26000000,239.67880000,499,16
2018-04-30 16:00:00,1390.89000000,1399.04000000,1382.70000000,1385.87000000,562.09251000,982,16
2018-04-30 17:00:00,1383.62000000,1402.44000000,1383.52000000,1399.99000000,437.95318000,891,0
2018-04-30 18:00:00,1400.00000000,1413.90000000,1394.84000000,1398.14000000,687.63184000,1133,34
2018-04-30 19:00:00,1398.14000000,1400.90000000,1385.40000000,1392.79000000,197.24162000,569,0
2018-04-30 20:00:00,1394.49000000,1394.49000000,1376.06000000,1378.78000000,184.07360000,535,39
2018-04-30 21:00:00,1376.38000000,1379.37000000,1343.60000000,1347.32000000,932.33984000,2508,22
2018-04-30 22:00:00,1347.27000000,1365.48000000,1326.52000000,1332.99000000,536.09460000,1553,26
2018-04-30 23:00:00,1332.99000000,1348.83000000,1331.00000000,1346.99000000,421.38998000,1052,84
2018-05-01 00:00:00,1346.99000000,1349.74000000,1248.30000000,1256.33000000,2746.44457000,4978,56
2018-05-01 01:00:00,1256.33000000,1290.60000000,1240.04000000,1290.60000000,2172.56357000,3345,83
2018-05-01 02:00:00,1290.00000000,1312.48000000,1276.91000000,1298.16000000,1297.95545000,2215,29
2018-05-01 03:00:00,1298.16000000,1307.23000000,1265.00000000,1278.46000000,1717.00312000,2389,0
2018-05-01 04:00:00,1278.39000000,1297.00000000,1277.17000000,1284.49000000,446.36476000,1049,32
2018-05-01 05:00:00,1284.00000000,1286.13000000,1270.00000000,1276.10000000,345.21685000,832,0
2018-05-01 06:00:00,1276.11000000,1294.60000000,1276.10000000,1292.72000000,310.14223000,785,28
2018-05-01 07:00:00,1292.38000000,1311.00000000,1290.68000000,1301.66000000,444.64400000,1082,25
2018-05-01 08:00:00,1302.19000000,1327.00000000,1298.63000000,1323.51000000,874.09633000,1417,0
2018-05-01 09:00:00,1323.53000000,1330.00000000,1291.31000000,1306.28000000,778.77742000,1706,69
2018-05-01 10:00:00,1306.90000000,1312.45000000,1291.56000000,1312.03000000,495.00189000,663,0
2018-05-01 11:00:00,1312.18000000,1319.71000000,1296.00000000,1302.30000000,298.28798000,685,20
2018-05-01 12:00:00,1302.30000000,1302.83000000,1266.87000000,1287.00000000,902.54205000,1966,37
2018-05-01 13:00:00,1287.02000000,1295.62000000,1268.00000000,1294.35000000,628.15111000,1241,0
2018-05-01 14:00:00,1293.20000000,1301.90000000,1282.05000000,1290.23000000,418.32853000,932,33
2018-05-01 15:00:00,1288.94000000,1299.00000000,1283.88000000,1287.55000000,515.02163000,908,49
2018-05-01 16:00:00,1286.31000000,1299.41000000,1286.00000000,1296.95000000,911.04518000,996,16
2018-05-01 17:00:00,1296.95000000,1300.00000000,1288.43000000,1293.56000000,237.24143000,536,0
2018-05-01 18:00:00,1293.56000000,1295.81000000,1276.90000000,1289.77000000,314.73418000,721,17
2018-05-01 19:00:00,1291.56000000,1292.57000000,1282.70000000,1287.51000000,206.97302000,537,35
2018-05-01 20:00:00,1287.39000000,1304.23000000,1287.29000000,1296.71000000,413.69843000,892,19
2018-05-01 21:00:00,1299.80000000,1320.00000000,1297.12000000,1317.02000000,1035.29133000,1157,45
2018-05-01 22:00:00,1317.02000000,1325.00000000,1313.03000000,1315.01000000,375.30541000,721,26
2018-05-01 23:00:00,1317.13000000,1368.00000000,1315.04000000,1353.00000000,1492.90685000,2036,56
2018-05-02 00:00:00,1355.77000000,1368.35000000,1334.08000000,1343.51000000,1557.08012000,1605,55
2018-05-02 01:00:00,1343.51000000,1346.76000000,1322.05000000,1342.50000000,539.13746000,1256,27
2018-05-02 02:00:00,1342.50000000,1348.97000000,1338.28000000,1342.00000000,327.82746000,513,27
2018-05-02 03:00:00,1342.00000000,1342.00000000,1332.97000000,1336.57000000,232.11111000,506,58
2018-05-02 04:00:00,1338.00000000,1352.69000000,1336.57000000,1350.00000000,221.60797000,501,0
2018-05-02 05:00:00,1350.00000000,1357.00000000,1340.14000000,1344.00000000,523.74848000,864,0
2018-05-02 06:00:00,1342.59000000,1359.47000000,1338.00000000,1357.90000000,653.53179000,1218,49
