date,open,high,low,close,volume,number of trades,Enigma ENG,sentiment
2018-04-27 04:00:00,0.00026670,0.00027999,0.00026660,0.00027691,149443.00000000,1712,48.0,0.0
2018-04-27 05:00:00,0.00027791,0.00028200,0.00027528,0.00027794,159874.00000000,924,22.0,0.0
2018-04-27 06:00:00,0.00027793,0.00028198,0.00027429,0.00028072,94367.00000000,886,20.0,0.0
2018-04-27 07:00:00,0.00028072,0.00028500,0.00028055,0.00028055,145458.00000000,1034,38.0,0.0
2018-04-27 08:00:00,0.00028055,0.00028221,0.00027595,0.00027732,113401.00000000,1149,0.0,0.0
2018-04-27 09:00:00,0.00027734,0.00027800,0.00027522,0.00027660,58689.00000000,572,0.0,0.0
2018-04-27 10:00:00,0.00027660,0.00028315,0.00027620,0.00028315,122697.00000000,997,0.0,0.0
2018-04-27 11:00:00,0.00028316,0.00028851,0.00028183,0.00028363,162796.00000000,1486,31.0,0.0
2018-04-27 12:00:00,0.00028307,0.00028655,0.00028071,0.00028500,160229.00000000,681,56.0,0.0
2018-04-27 13:00:00,0.00028588,0.00028655,0.00027900,0.00028187,105690.00000000,865,39.0,0.0
2018-04-27 14:00:00,0.00028187,0.00028700,0.00028187,0.00028528,70750.00000000,882,13.0,0.0
2018-04-27 15:00:00,0.00028527,0.00028762,0.00028393,0.00028542,98746.00000000,656,13.0,0.4
2018-04-27 16:00:00,0.00028542,0.00028572,0.00028114,0.00028570,132740.00000000,753,0.0,0.0
2018-04-27 17:00:00,0.00028514,0.00028690,0.00028422,0.00028491,104796.00000000,560,28.0,0.0
2018-04-27 18:00:00,0.00028490,0.00028492,0.00028199,0.00028368,70739.00000000,498,14.0,0.0
2018-04-27 19:00:00,0.00028365,0.00028365,0.00028100,0.00028181,89110.00000000,440,15.0,0.0
2018-04-27 20:00:00,0.00028226,0.00028226,0.00027668,0.00027736,112439.00000000,970,33.0,0.0
2018-04-27 21:00:00,0.00027685,0.00027900,0.00027611,0.00027687,59572.00000000,409,19.0,0.0
2018-04-27 22:00:00,0.00027633,0.00027900,0.00027633,0.00027817,83691.00000000,444,22.0,0.0
2018-04-27 23:00:00,0.00027818,0.00027869,0.00027586,0.00027603,84076.00000000,336,24.0,0.0
2018-04-28 00:00:00,0.00027601,0.00027604,0.00027337,0.00027350,117955.00000000,668,0.0,0.0
2018-04-28 01:00:00,0.00027349,0.00027600,0.00027339,0.00027600,90833.00000000,461,48.0,0.0
2018-04-28 02:00:00,0.00027600,0.00027628,0.00027449,0.00027506,119844.00000000,273,72.0,0.0
2018-04-28 03:00:00,0.00027570,0.00027753,0.00027458,0.00027586,50751.00000000,334,25.0,0.0
2018-04-28 04:00:00,0.00027579,0.00027794,0.00027363,0.00027500,100983.00000000,432,0.0,0.0
2018-04-28 05:00:00,0.00027501,0.00028253,0.00027341,0.00028225,115840.00000000,1123,24.0,0.0
2018-04-28 06:00:00,0.00028221,0.00028300,0.00027025,0.00027645,233944.00000000,3388,22.0,0.0
2018-04-28 07:00:00,0.00027621,0.00027700,0.00026601,0.00026769,310557.00000000,3781,21.0,0.0
2018-04-28 08:00:00,0.00026771,0.00026775,0.00026251,0.00026601,356607.00000000,2349,21.0,0.0
2018-04-28 09:00:00,0.00026612,0.00026990,0.00026500,0.00026933,131361.00000000,857,0.0,0.0
2018-04-28 10:00:00,0.00026933,0.00027140,0.00026834,0.00027003,136605.00000000,817,0.0,0.0
2018-04-28 11:00:00,0.00027075,0.00027175,0.00026900,0.00027114,146704.00000000,826,0.0,0.0
2018-04-28 12:00:00,0.00027114,0.00027198,0.00027025,0.00027115,122365.00000000,574,0.0,0.0
2018-04-28 13:00:00,0.00027187,0.00027411,0.00027000,0.00027256,112091.00000000,1410,0.0,0.0
2018-04-28 14:00:00,0.00027258,0.00027800,0.00027101,0.00027529,194282.00000000,1732,0.0,0.0
2018-04-28 15:00:00,0.00027570,0.00027693,0.00027300,0.00027337,103691.00000000,696,15.0,0.0
2018-04-28 16:00:00,0.00027323,0.00027563,0.00027239,0.00027508,89680.00000000,661,44.0,0.0
2018-04-28 17:00:00,0.00027511,0.00027567,0.00027240,0.00027377,69647.00000000,594,0.0,0.0
2018-04-28 18:00:00,0.00027421,0.00027566,0.00027105,0.00027338,71072.00000000,730,31.0,0.0
2018-04-28 19:00:00,0.00027340,0.00027566,0.00027125,0.00027125,98481.00000000,878,33.0,0.0
2018-04-28 20:00:00,0.00027170,0.00027189,0.00026486,0.00026768,200472.00000000,3491,54.0,0.0
2018-04-28 21:00:00,0.00026779,0.00027091,0.00026500,0.00027001,114701.00000000,1488,0.0,0.0
2018-04-28 22:00:00,0.00026985,0.00027087,0.00026873,0.00027071,96102.00000000,597,45.0,0.0
2018-04-28 23:00:00,0.00027076,0.00027250,0.00027007,0.00027095,215988.00000000,819,25.0,0.0
2018-04-29 00:00:00,0.00027094,0.00027381,0.00027008,0.00027127,126100.00000000,865,100.0,0.0
2018-04-29 00:00:00,0.00027094,0.00027381,0.00027008,0.00027127,126100.00000000,865,100.0,0.0
2018-04-29 01:00:00,0.00027126,0.00027348,0.00027008,0.00027052,102325.00000000,545,25.0,0.0
2018-04-29 02:00:00,0.00027052,0.00027233,0.00027008,0.00027101,132317.00000000,346,25.0,0.0
2018-04-29 03:00:00,0.00027078,0.00027215,0.00026923,0.00027154,88851.00000000,463,0.0,0.0
2018-04-29 04:00:00,0.00027198,0.00027320,0.00027033,0.00027214,106300.00000000,593,52.0,0.0
2018-04-29 05:00:00,0.00027215,0.00027511,0.00027215,0.00027374,162802.00000000,932,50.0,0.0
2018-04-29 06:00:00,0.00027415,0.00027650,0.00027399,0.00027571,90482.00000000,890,23.0,0.0
2018-04-29 07:00:00,0.00027599,0.00027650,0.00027400,0.00027462,121296.00000000,529,41.0,0.0
2018-04-29 08:00:00,0.00027419,0.00027650,0.00026977,0.00027100,134342.00000000,821,20.0,0.0
2018-04-29 09:00:00,0.00027001,0.00028289,0.00026711,0.00028032,256970.00000000,2370,39.0,0.0
2018-04-29 10:00:00,0.00028032,0.00028995,0.00027900,0.00028052,574915.00000000,4475,57.0,0.0
2018-04-29 11:00:00,0.00028052,0.00028849,0.00027531,0.00028669,177098.00000000,2178,18.0,0.0
2018-04-29 12:00:00,0.00028613,0.00028995,0.00028358,0.00028509,156770.00000000,1234,0.0,-0.1
2018-04-29 13:00:00,0.00028516,0.00028706,0.00028200,0.00028375,125089.00000000,1280,31.0,0.0
2018-04-29 14:00:00,0.00028375,0.00028899,0.00028172,0.00028699,191998.00000000,1490,29.0,0.0
2018-04-29 15:00:00,0.00028699,0.00029563,0.00028605,0.00029423,276548.00000000,2613,43.0,0.0
2018-04-29 16:00:00,0.00029498,0.00029498,0.00028842,0.00028907,147408.00000000,1076,0.0,0.0
2018-04-29 17:00:00,0.00028906,0.00029202,0.00028505,0.00029112,182721.00000000,1330,29.0,0.0
2018-04-29 18:00:00,0.00029112,0.00029157,0.00028300,0.00028678,189104.00000000,1280,15.0,0.0
2018-04-29 19:00:00,0.00028678,0.00028915,0.00028381,0.00028777,128547.00000000,826,31.0,0.0
2018-04-29 20:00:00,0.00028777,0.00029926,0.00028562,0.00029512,252483.00000000,2570,17.0,0.0
2018-04-29 21:00:00,0.00029580,0.00030911,0.00028937,0.00029930,342249.00000000,3870,39.0,0.0
2018-04-29 22:00:00,0.00029930,0.00030911,0.00029635,0.00030432,174801.00000000,2035,44.0,0.0
2018-04-29 23:00:00,0.00030405,0.00030895,0.00030187,0.00030411,126169.00000000,1120,71.0,0.0
2018-04-30 00:00:00,0.00030411,0.00030450,0.00029623,0.00029956,160980.00000000,1790,46.0,0.0
2018-04-30 01:00:00,0.00030058,0.00030271,0.00029964,0.00030138,85512.00000000,625,67.0,0.0
2018-04-30 02:00:00,0.00030140,0.00030280,0.00029700,0.00030202,164757.00000000,746,23.0,0.0
2018-04-30 03:00:00,0.00030204,0.00030280,0.00028797,0.00028800,160860.00000000,1901,24.0,0.0
2018-04-30 04:00:00,0.00028800,0.00029500,0.00028631,0.00029093,90833.00000000,996,24.0,0.0
2018-04-30 05:00:00,0.00029085,0.00029600,0.00028856,0.00029514,90767.00000000,860,22.0,0.0
2018-04-30 06:00:00,0.00029532,0.00030360,0.00029513,0.00030360,150791.00000000,1434,20.0,0.0
2018-04-30 07:00:00,0.00030361,0.00030500,0.00029300,0.00029747,130098.00000000,1470,0.0,0.0
2018-04-30 08:00:00,0.00029749,0.00030149,0.00029561,0.00029694,118410.00000000,759,53.0,0.0
2018-04-30 09:00:00,0.00029616,0.00030550,0.00029616,0.00030352,114345.00000000,1122,0.0,0.0
2018-04-30 10:00:00,0.00030398,0.00030850,0.00029980,0.00030105,124017.00000000,1258,33.0,0.0
2018-04-30 11:00:00,0.00030105,0.00030514,0.00030002,0.00030447,103783.00000000,714,30.0,0.0
2018-04-30 12:00:00,0.00030441,0.00030900,0.00030394,0.00030719,144515.00000000,1445,28.0,0.0
2018-04-30 13:00:00,0.00030703,0.00030839,0.00030400,0.00030832,145742.00000000,683,0.0,0.0
2018-04-30 14:00:00,0.00030832,0.00031705,0.00030595,0.00031412,308145.00000000,2563,37.0,0.0
2018-04-30 15:00:00,0.00031413,0.00031416,0.00031031,0.00031122,127770.00000000,826,75.0,0.0
2018-04-30 16:00:00,0.00031121,0.00031122,0.00030622,0.00030743,141387.00000000,1076,0.0,0.0
2018-04-30 17:00:00,0.00030743,0.00030822,0.00030339,0.00030713,149485.00000000,1320,26.0,0.0
2018-04-30 18:00:00,0.00030720,0.00031091,0.00030278,0.00030764,128387.00000000,1152,14.0,0.0
2018-04-30 19:00:00,0.00030802,0.00031113,0.00030679,0.00030736,115064.00000000,1115,43.0,0.0
2018-04-30 20:00:00,0.00030932,0.00030941,0.00029980,0.00030125,150128.00000000,1283,47.0,0.0
2018-04-30 21:00:00,0.00030125,0.00030225,0.00029521,0.00029670,139054.00000000,1268,35.0,0.0
2018-04-30 22:00:00,0.00029841,0.00029841,0.00029245,0.00029486,77332.00000000,926,21.0,0.0
2018-04-30 23:00:00,0.00029479,0.00029554,0.00029150,0.00029554,54094.00000000,660,0.0,0.0
2018-05-01 00:00:00,0.00029547,0.00029690,0.00028058,0.00028151,205777.00000000,1413,0.0,0.0
2018-05-01 01:00:00,0.00028151,0.00028621,0.00028035,0.00028510,119159.00000000,595,22.0,0.0
2018-05-01 02:00:00,0.00028510,0.00028753,0.00028375,0.00028523,74746.00000000,477,23.0,0.0
2018-05-01 03:00:00,0.00028511,0.00028746,0.00028352,0.00028415,73341.00000000,275,0.0,0.0
2018-05-01 04:00:00,0.00028415,0.00028635,0.00028349,0.00028571,131076.00000000,294,50.0,0.0
2018-05-01 05:00:00,0.00028571,0.00028571,0.00028333,0.00028398,86305.00000000,360,73.0,0.0
2018-05-01 06:00:00,0.00028366,0.00028596,0.00028336,0.00028572,106067.00000000,419,22.0,0.0
2018-05-01 07:00:00,0.00028574,0.00029230,0.00028572,0.00029200,106340.00000000,739,80.0,0.0
2018-05-01 08:00:00,0.00029198,0.00029466,0.00029027,0.00029307,51951.00000000,480,0.0,0.0
2018-05-01 09:00:00,0.00029284,0.00029528,0.00029050,0.00029433,89256.00000000,797,37.0,0.0
2018-05-01 10:00:00,0.00029502,0.00029789,0.00029438,0.00029788,68928.00000000,574,0.0,0.0
2018-05-01 11:00:00,0.00029724,0.00029789,0.00029451,0.00029738,62394.00000000,571,16.0,0.7
2018-05-01 12:00:00,0.00029738,0.00029899,0.00029341,0.00029361,133527.00000000,703,0.0,0.0
2018-05-01 13:00:00,0.00029350,0.00029460,0.00028911,0.00029254,51336.00000000,627,14.0,0.0
2018-05-01 14:00:00,0.00029253,0.00029379,0.00028880,0.00028980,103209.00000000,454,26.0,0.0
2018-05-01 15:00:00,0.00028945,0.00029053,0.00028732,0.00028859,141660.00000000,683,13.0,0.0
2018-05-01 16:00:00,0.00028860,0.00030000,0.00028860,0.00029553,150160.00000000,1448,39.0,0.0
2018-05-01 17:00:00,0.00029554,0.00030149,0.00029471,0.00029841,91803.00000000,1093,40.0,0.0
2018-05-01 18:00:00,0.00029829,0.00030186,0.00029720,0.00029999,77213.00000000,601,26.0,0.0
2018-05-01 19:00:00,0.00030031,0.00030188,0.00029750,0.00029879,83437.00000000,501,14.0,0.0
2018-05-01 20:00:00,0.00029880,0.00030200,0.00029762,0.00029777,111706.00000000,423,15.0,0.0
2018-05-01 21:00:00,0.00029849,0.00030200,0.00029687,0.00030061,85011.00000000,580,0.0,0.0
2018-05-01 22:00:00,0.00030061,0.00030371,0.00030050,0.00030311,48597.00000000,534,62.0,0.0
2018-05-01 23:00:00,0.00030372,0.00030383,0.00030250,0.00030265,60729.00000000,301,22.0,0.0
2018-05-02 00:00:00,0.00030266,0.00030393,0.00030261,0.00030283,48532.00000000,394,0.0,0.0
2018-05-02 01:00:00,0.00030285,0.00030287,0.00030211,0.00030287,129239.00000000,381,21.0,0.0
2018-05-02 02:00:00,0.00030282,0.00030287,0.00030128,0.00030153,24570.00000000,293,22.0,0.0
2018-05-02 03:00:00,0.00030150,0.00030224,0.00030034,0.00030224,49081.00000000,460,0.0,0.0
2018-05-02 04:00:00,0.00030224,0.00030228,0.00029970,0.00030201,39716.00000000,389,0.0,0.0
2018-05-02 05:00:00,0.00030148,0.00030154,0.00029614,0.00029886,76975.00000000,679,0.0,0.15625
2018-05-02 06:00:00,0.00029885,0.00030000,0.00029726,0.00029897,109563.00000000,348,19.0,0.0
2018-05-02 07:00:00,0.00029897,0.00030120,0.00029729,0.00030120,98837.00000000,431,18.0,0.0
2018-05-02 08:00:00,0.00030120,0.00030160,0.00029822,0.00029978,46447.00000000,328,34.0,0.0
2018-05-02 09:00:00,0.00029978,0.00029999,0.00029735,0.00029782,56530.00000000,332,16.0,0.0
2018-05-02 10:00:00,0.00029799,0.00030080,0.00029735,0.00029940,21916.00000000,317,48.0,0.0
2018-05-02 11:00:00,0.00029869,0.00029973,0.00029710,0.00029717,53385.00000000,357,0.0,0.0
2018-05-02 12:00:00,0.00029786,0.00029836,0.00029683,0.00029685,96351.00000000,351,13.0,0.0
2018-05-02 13:00:00,0.00029684,0.00029891,0.00029600,0.00029728,71456.00000000,369,24.0,0.0
2018-05-02 14:00:00,0.00029762,0.00029934,0.00029585,0.00029799,63742.00000000,401,0.0,0.0
