date,open,high,low,close,volume,number of trades,Ethereum ETH
2018-05-14 17:00:00,732.51000000,735.50000000,726.22000000,733.84000000,5421.88808000,3527,61
2018-05-14 18:00:00,733.84000000,735.00000000,730.00000000,734.62000000,2379.11007000,2428,57
2018-05-14 19:00:00,733.66000000,738.23000000,726.89000000,733.80000000,6117.15855000,4824,69
2018-05-14 20:00:00,733.80000000,743.90000000,730.26000000,736.72000000,5084.85671000,5513,61
2018-05-14 21:00:00,736.64000000,739.96000000,726.11000000,728.52000000,3208.64935000,4175,80
2018-05-14 22:00:00,728.52000000,732.44000000,717.00000000,717.11000000,8127.72919000,7530,96
2018-05-14 23:00:00,717.69000000,729.88000000,717.00000000,727.49000000,3725.74654000,3608,75
2018-05-15 00:00:00,727.49000000,736.48000000,726.83000000,727.38000000,3670.67265000,4209,63
2018-05-15 01:00:00,727.39000000,730.62000000,721.10000000,728.36000000,3110.32763000,3016,61
2018-05-15 02:00:00,727.59000000,730.71000000,720.00000000,722.90000000,3958.93881000,3384,68
2018-05-15 03:00:00,723.27000000,728.99000000,720.02000000,728.55000000,2311.70245000,2495,70
2018-05-15 04:00:00,728.55000000,733.00000000,725.49000000,728.75000000,3536.17632000,3447,53
2018-05-15 05:00:00,729.19000000,734.29000000,727.06000000,732.42000000,4107.32414000,3514,54
2018-05-15 06:00:00,733.00000000,737.00000000,731.46000000,733.67000000,3763.61566000,3466,91
2018-05-15 07:00:00,733.01000000,736.66000000,731.08000000,735.03000000,2180.76729000,2241,85
2018-05-15 08:00:00,735.07000000,735.29000000,722.00000000,731.50000000,7766.39046000,6385,78
2018-05-15 09:00:00,731.11000000,732.80000000,726.95000000,727.12000000,4562.50284000,3383,83
2018-05-15 10:00:00,727.66000000,740.00000000,725.05000000,735.82000000,11549.15554000,7980,70
2018-05-15 11:00:00,735.37000000,737.49000000,729.06000000,732.51000000,4709.31530000,4371,71
2018-05-15 12:00:00,732.51000000,735.85000000,730.00000000,735.85000000,3155.04689000,3188,59
2018-05-15 13:00:00,735.71000000,735.72000000,726.00000000,729.30000000,8716.08426000,5806,65
2018-05-15 14:00:00,729.29000000,729.30000000,708.19000000,711.00000000,12583.29937000,11392,69
2018-05-15 15:00:00,711.00000000,722.61000000,707.75000000,717.98000000,8407.17390000,6721,50
2018-05-15 16:00:00,718.03000000,728.20000000,716.51000000,723.95000000,5173.03893000,4796,45
2018-05-15 17:00:00,724.29000000,727.27000000,712.82000000,716.93000000,5469.08275000,4553,54
2018-05-15 18:00:00,716.94000000,717.55000000,705.39000000,712.89000000,7294.24902000,7133,62
2018-05-15 19:00:00,712.87000000,716.19000000,705.00000000,713.77000000,4761.58231000,5635,70
2018-05-15 20:00:00,713.55000000,715.39000000,708.82000000,711.10000000,2739.48414000,3555,66
2018-05-15 21:00:00,711.82000000,713.14000000,707.60000000,708.25000000,2964.06867000,3165,46
2018-05-15 22:00:00,708.61000000,711.24000000,695.00000000,699.67000000,6599.59027000,7134,67
2018-05-15 23:00:00,700.28000000,709.49000000,698.29000000,704.91000000,4101.62903000,4937,36
2018-05-16 00:00:00,704.91000000,709.00000000,696.10000000,700.00000000,4152.69231000,4795,43
2018-05-16 01:00:00,699.99000000,700.85000000,686.36000000,690.45000000,8263.30731000,7802,52
2018-05-16 02:00:00,690.45000000,692.34000000,673.52000000,678.54000000,10404.13458000,10119,81
2018-05-16 03:00:00,678.09000000,691.50000000,677.07000000,678.51000000,7486.06910000,6858,90
2018-05-16 04:00:00,679.03000000,690.13000000,678.51000000,685.52000000,4640.96574000,5594,40
2018-05-16 05:00:00,685.53000000,685.53000000,680.04000000,683.07000000,3794.75290000,4597,63
2018-05-16 06:00:00,684.00000000,688.00000000,680.49000000,686.98000000,4920.65749000,4377,45
2018-05-16 07:00:00,686.48000000,694.49000000,686.48000000,690.01000000,3995.60000000,5069,100
2018-05-16 08:00:00,690.73000000,690.80000000,684.47000000,685.42000000,3452.90499000,3725,91
2018-05-16 09:00:00,684.50000000,692.00000000,684.20000000,691.97000000,3464.50562000,4613,77
2018-05-16 10:00:00,691.62000000,707.38000000,691.61000000,701.45000000,6961.45469000,7276,45
2018-05-16 11:00:00,701.45000000,712.84000000,700.92000000,704.66000000,3596.31806000,5141,68
2018-05-16 12:00:00,704.66000000,708.28000000,701.89000000,703.19000000,3064.47818000,3706,68
2018-05-16 13:00:00,703.94000000,706.00000000,678.01000000,683.61000000,11942.12506000,9576,55
2018-05-16 14:00:00,683.00000000,693.29000000,682.19000000,691.32000000,4550.62238000,4732,45
2018-05-16 15:00:00,690.65000000,702.42000000,690.64000000,697.36000000,5590.72545000,6119,52
2018-05-16 16:00:00,697.36000000,703.49000000,689.03000000,694.42000000,6165.43852000,5245,53
2018-05-16 17:00:00,694.87000000,699.87000000,690.98000000,693.26000000,5214.49649000,4598,31
2018-05-16 18:00:00,693.27000000,701.06000000,692.34000000,694.43000000,2768.06386000,2917,63
2018-05-16 19:00:00,694.42000000,703.32000000,692.21000000,694.05000000,3035.87627000,3201,57
2018-05-16 20:00:00,693.13000000,697.85000000,692.38000000,695.40000000,2615.76642000,2660,66
2018-05-16 21:00:00,696.33000000,696.57000000,691.75000000,694.38000000,2384.73681000,2393,72
2018-05-16 22:00:00,694.85000000,704.99000000,694.45000000,699.35000000,3444.47139000,3589,49
2018-05-16 23:00:00,699.00000000,707.50000000,699.00000000,706.29000000,2992.30533000,3254,58
2018-05-17 00:00:00,706.80000000,714.95000000,706.47000000,710.20000000,5353.10529000,5191,62
2018-05-17 01:00:00,710.19000000,714.40000000,705.70000000,712.00000000,4583.79326000,4519,37
2018-05-17 02:00:00,711.37000000,716.20000000,710.46000000,713.10000000,5377.79376000,4698,59
2018-05-17 03:00:00,713.11000000,719.25000000,706.20000000,709.69000000,5338.39975000,5212,51
2018-05-17 04:00:00,709.70000000,714.15000000,706.85000000,707.56000000,3966.65403000,3231,71
2018-05-17 05:00:00,709.60000000,712.61000000,702.89000000,710.85000000,5206.64035000,3742,56
2018-05-17 06:00:00,710.85000000,712.49000000,707.38000000,708.47000000,2787.06502000,2884,70
2018-05-17 07:00:00,708.47000000,708.53000000,695.00000000,698.70000000,5563.80463000,5657,72
2018-05-17 08:00:00,698.69000000,701.95000000,696.45000000,699.00000000,4290.36260000,4368,74
2018-05-17 09:00:00,699.00000000,705.04000000,697.27000000,702.92000000,3240.64188000,3860,63
2018-05-17 10:00:00,702.92000000,704.15000000,697.00000000,701.57000000,3086.42444000,3389,70
2018-05-17 11:00:00,702.19000000,702.67000000,698.10000000,700.95000000,2597.42433000,3440,51
2018-05-17 12:00:00,701.71000000,705.02000000,695.72000000,696.84000000,3704.67960000,4304,81
2018-05-17 13:00:00,697.47000000,702.52000000,696.61000000,702.24000000,3118.30121000,3253,45
2018-05-17 14:00:00,702.24000000,708.56000000,701.01000000,706.18000000,3235.43666000,3784,61
2018-05-17 15:00:00,706.17000000,708.50000000,704.00000000,706.01000000,1849.22076000,2948,51
2018-05-17 16:00:00,706.46000000,707.86000000,692.10000000,699.00000000,5739.39342000,5563,50
2018-05-17 17:00:00,698.89000000,699.89000000,688.00000000,691.12000000,4428.54100000,4296,59
2018-05-17 18:00:00,691.12000000,691.98000000,678.00000000,681.00000000,5417.57749000,6139,57
2018-05-17 19:00:00,680.52000000,685.92000000,679.01000000,683.70000000,3517.06260000,3869,52
2018-05-17 20:00:00,684.36000000,690.65000000,682.16000000,687.57000000,3742.33065000,3597,63
2018-05-17 21:00:00,687.57000000,687.59000000,677.01000000,678.60000000,3365.65704000,3617,72
2018-05-17 22:00:00,678.60000000,678.76000000,662.00000000,671.48000000,11203.06173000,11095,57
2018-05-17 23:00:00,671.30000000,675.13000000,662.34000000,667.62000000,6010.01225000,6954,81
2018-05-18 00:00:00,667.62000000,668.56000000,656.00000000,660.82000000,9566.67488000,7372,80
2018-05-18 01:00:00,660.08000000,671.72000000,658.45000000,665.30000000,6559.49596000,6219,81
2018-05-18 02:00:00,665.30000000,672.34000000,662.87000000,668.90000000,5097.46535000,4576,83
2018-05-18 03:00:00,669.39000000,675.00000000,668.89000000,669.90000000,4858.68854000,4342,64
2018-05-18 04:00:00,669.20000000,681.00000000,668.27000000,674.51000000,5778.92222000,5894,100
2018-05-18 05:00:00,674.51000000,679.16000000,670.00000000,676.60000000,4548.73670000,4664,49
2018-05-18 06:00:00,676.59000000,676.82000000,667.27000000,668.01000000,3163.00133000,4079,71
2018-05-18 07:00:00,667.43000000,682.00000000,667.41000000,677.74000000,5940.74768000,6022,67
2018-05-18 08:00:00,677.78000000,683.42000000,674.99000000,682.39000000,4464.02337000,4905,83
2018-05-18 09:00:00,682.39000000,683.41000000,679.08000000,680.41000000,3319.24314000,3609,67
2018-05-18 10:00:00,681.41000000,685.68000000,679.00000000,683.58000000,3949.82773000,4503,52
2018-05-18 11:00:00,683.61000000,685.00000000,674.99000000,680.56000000,4046.16528000,6060,47
2018-05-18 12:00:00,680.78000000,683.98000000,678.21000000,681.90000000,2938.35686000,5069,65
2018-05-18 13:00:00,681.90000000,682.66000000,675.00000000,677.04000000,3747.23292000,4594,62
2018-05-18 14:00:00,677.03000000,677.69000000,667.89000000,672.88000000,4961.38547000,5402,64
2018-05-18 15:00:00,672.30000000,681.00000000,669.63000000,676.95000000,5043.86840000,4607,61
2018-05-18 16:00:00,676.95000000,680.84000000,671.70000000,678.99000000,2893.92364000,3673,53
2018-05-18 17:00:00,678.99000000,682.50000000,677.00000000,678.90000000,2462.41729000,3412,69
2018-05-18 18:00:00,678.88000000,688.51000000,675.73000000,686.50000000,4429.99378000,4932,43
2018-05-18 19:00:00,686.51000000,692.00000000,683.93000000,689.19000000,7019.06009000,6345,79
2018-05-18 20:00:00,689.89000000,691.50000000,683.84000000,687.51000000,2681.02952000,3806,60
2018-05-18 21:00:00,687.51000000,691.50000000,687.02000000,688.69000000,3146.56383000,3314,61
2018-05-18 22:00:00,688.69000000,692.00000000,688.16000000,689.39000000,2689.11022000,3030,62
2018-05-18 23:00:00,689.39000000,694.90000000,688.70000000,692.60000000,3235.72887000,3990,64
2018-05-19 00:00:00,693.26000000,696.00000000,684.31000000,686.55000000,3591.44334000,4423,59
2018-05-19 01:00:00,686.56000000,689.29000000,682.46000000,686.39000000,2209.11210000,3965,38
2018-05-19 02:00:00,686.58000000,688.68000000,684.40000000,686.75000000,2412.98088000,2995,60
2018-05-19 03:00:00,686.75000000,695.27000000,685.80000000,692.03000000,3053.01882000,3774,69
2018-05-19 04:00:00,692.00000000,694.48000000,690.01000000,690.90000000,2483.77609000,2863,58
2018-05-19 05:00:00,690.90000000,692.30000000,689.40000000,691.05000000,1731.71776000,2629,58
2018-05-19 06:00:00,691.05000000,693.38000000,688.00000000,690.01000000,2216.90982000,3283,54
2018-05-19 07:00:00,690.01000000,691.60000000,682.31000000,684.58000000,3589.40946000,4698,64
2018-05-19 08:00:00,684.63000000,691.32000000,682.75000000,690.85000000,2981.70677000,3282,57
2018-05-19 09:00:00,690.85000000,692.88000000,686.90000000,691.20000000,3358.81908000,3224,48
2018-05-19 10:00:00,690.74000000,697.10000000,690.00000000,695.20000000,3468.04663000,4497,56
2018-05-19 11:00:00,694.53000000,709.16000000,694.34000000,709.16000000,4059.80259000,5532,67
2018-05-19 12:00:00,709.16000000,713.05000000,706.11000000,710.30000000,10626.41013000,6620,45
2018-05-19 13:00:00,710.27000000,717.80000000,703.11000000,705.00000000,8436.21779000,8156,46
2018-05-19 14:00:00,704.99000000,708.78000000,703.64000000,706.00000000,4027.39037000,5243,39
2018-05-19 15:00:00,706.00000000,708.22000000,701.79000000,706.92000000,3751.32778000,4061,40
2018-05-19 16:00:00,706.92000000,707.55000000,696.30000000,701.53000000,5828.64243000,5027,49
2018-05-19 17:00:00,702.00000000,704.13000000,698.88000000,701.31000000,3445.60107000,3221,36
2018-05-19 18:00:00,701.32000000,704.33000000,700.20000000,701.78000000,1693.85678000,2825,45
2018-05-19 19:00:00,700.92000000,704.99000000,700.11000000,703.66000000,2292.21490000,2707,36
2018-05-19 20:00:00,704.00000000,704.81000000,697.10000000,697.41000000,1356.81126000,2902,42
2018-05-19 21:00:00,697.41000000,699.01000000,689.09000000,689.99000000,4482.06061000,5279,53
